Enum	Vihkon elinympäristö	1.taso	2. taso	3. taso	Swedish	English
MY.habitatEnumValue1	Metsät	Metsä			Skog	Forest
MY.habitatEnumValue2	Kangasmetsät		Kangasmetsä		Moskog	Heath forest
MY.habitatEnumValue4	Lehtomainen kangas			Lehtomainen kangas	Lundartad mo	Herb-rich heath forest
MY.habitatEnumValue3	Tuore kangas			Tuore kangas	Frisk mo	Mesic heath forest
				Kuivahko kangas 		
				kuiva ja karumpi kangas, jäkäläkangas		
MY.habitatEnumValue40	Kalliometsä		Kalliometsä		Skog på hällmark	Forest on rocky terrain
MY.habitatEnumValue7	Lehdot		Lehto		Lund	Herb-rich forest
MY.habitatEnumValue8	Kuiva lehto			Kuiva lehto	Torr lund	Dry herb-rich forest
MY.habitatEnumValue9	Tuore lehto			Tuore lehto	Frisk lund	Mesic herb-rich forest
MY.habitatEnumValue10	Kostea lehto			Kostea lehto	Fuktig lund	Moist herb-rich forest
			Tervaleppämetsä			
				Tervaleppälehto		
				Tervaleppäkorpi		
				Tervaleppäluhta		
				Tervaleppävaltainen tulvametsä		
			Jalopuumetsä			
MY.habitatEnumValue11	Jalopuulehto			Jalopuulehto	Ädellövskog	Herb-rich forest with broadleaved deciduous trees
				Jalopuustoinen kangasmetsä		
			Pähkinäpensaikko			
				Pähkinälehto		
				Pähkinäpensaikko kangasmetsässä		
			Tulvametsä tai metsäluhta			
				Tulvametsä		
MY.habitatEnumValue23	Metsäluhta			Metsäluhta	Skogs-madkärr	Swamp
			Dyynimetsä			
			Tunturikoivikko			
MY.habitatEnumValue12	Tunturikoivulehto			Tunturikoivulehto	Fjällbjörkslund	Herb-rich mountain birch forests
MY.habitatEnumValue13	Tunturikoivikko, ei lehto			Tunturikoivikko kangasmaalla	Fjällbjörkskog, ej lund	Mountain birch forest (excluding herb-rich mountain birch forest)
MY.habitatEnumValue14	Suot	Suo			Myr	Mire
MY.habitatEnumValue15	Avosuot		Avosuo		Öppen myr	Open mire
MY.habitatEnumValue16	Letto		Letto		Rikkärr	Rich fen
				Avoletto		
				Lettokorpi		
				Lettoräme		
MY.habitatEnumValue17	Neva		Neva		Fattigkärr	Fen
				Karu neva		
				Rehevä neva		
MY.habitatEnumValue18	Avoluhta		Avoluhta		Öppet madkärr	Open swamp
MY.habitatEnumValue19	Puustoiset suot		Puustoinen suo		Trädbevuxen myr	Wooded mire
MY.habitatEnumValue20	Räme		Räme		Mosse	Pine mire and bog
				Karu räme		
				Rehevä räme		
MY.habitatEnumValue21	Korpi		Korpi		Skogkärr	Spruce mire
				Karu korpi		
				Rehevä korpi		
			Turvekangas			
MY.habitatEnumValue22	Pensaikkoluhta		Pensaikkoluhta		Busk-madkärr	Scrub swamp
MY.habitatEnumValue27	Rannat	Ranta			Strand	Shore
MY.habitatEnumValue34	Hietikkoranta		Hiekkaranta tai dyyni		Sandstrand	Sand beach
				Hiekkaranta		
				Rantavehnädyyni 		
				Harmaa dyyni		
				Variksenmarjadyyni 		
				Dyynin kostea painanne		
MY.habitatEnumValue33	Sora-, somerikko- tai kivikkoranta		Sora-, somerikko- tai kivikkoranta		Grus- och klapperstenstrand	Gravel and shingle shores
			Kallioranta			
MY.habitatEnumValue31	Niittyranta		Rantaniitty		Ängstrand	Meadow shore
				Laidunnettu rantaniitty		
				Suolamaa		
				Tulvaniitty		
MY.habitatEnumValue35	Avoin tulvaranta		Avoin tulvaranta		Öppen översvämingsbenägna mark	Unvegetated flood shore
				Lieteranta		
MY.habitatEnumValue30	Luhtaranta		Avoluhta tai luhtaniitty		Madskärrstrand	Swamp shore
MY.habitatEnumValue32	Ruovikko			Ruovikko	Vassruggar	Reedbed
				Kaislikko		
				Osmankäämikkö		
MY.habitatEnumValue29	Rantapensaikko		Rantapensaikko		Strandbuskage	Shore scrub
				Pajukko		
				Katajikko		
				Tyrnipensaikko 		
MY.habitatEnumValue22	Pensaikkoluhta			Pensaikkoluhta	Busk-madkärr	Scrub swamp
			Eroosiotörmä			
MY.habitatEnumValue24	Vedet	Vesi			Vatten	Water
MY.habitatEnumValue89	Murtovesi		Itämeri		Brackvatten	Brackish water
				Kova pohja		
				Pehmeä pohja		
			Flada tai kluuvi			
			Jokisuisto			
			Sisälahti			
			Järvi tai lampi			
MY.habitatEnumValue90	Karu järvi tai lampi			Karu järvi tai lampi	Oligotrophic lake or pond	Oligotrophic lake or pond
MY.habitatEnumValue91	Rehevä järvi tai lampi			Rehevä järvi tai lampi	Näringsrik sjö eller tjärna	Eutrophic lake or pond
MY.habitatEnumValue92	Lampare tai allikko		Lampare tai allikko		Göl	Small pond
MY.habitatEnumValue25	Lähteikkö		Lähteikkö		Källa och källkärr	Spring complex
				Huurresammallähteikkö		
				Muu avolähde		
				Muu tihkupinta		
MY.habitatEnumValue93	Joki		Joki		Å	River
MY.habitatEnumValue94	Koski		Koski		Fors	Rapids
			Putous tai köngäs			
MY.habitatEnumValue26	Puro tai noro (kausikuiva)		Puro		Bäck	Streams or a brook
			Noro (kausikuiva)			
